model_family,ladder,cutoff,evaluation_role,n_rows,target_dimension,mse,mae
hist_gradient_boosting,M2_CORE,2022-07-01,development,15736,counterparty_log_change_7d,0.7964214034511006,0.6988500138688901
hist_gradient_boosting,M2_CORE,2022-07-01,development,15736,active_day_change_7d,0.6270295431346445,0.5937321916966057
hist_gradient_boosting,M2_CORE,2022-07-01,development,15736,incoming_share_change_7d,0.53854491564492,0.49609435261909407
hist_gradient_boosting,M2_CORE,2022-07-01,development,15736,outgoing_share_change_7d,0.6316194743632805,0.6079944554376956
hist_gradient_boosting,M2_CORE,2022-07-01,development,15736,native_share_change_7d,0.5419301318668471,0.4785394614480402
hist_gradient_boosting,M2_CORE,2022-07-01,development,15736,token_share_change_7d,0.5098279657992875,0.4695093549121326
hist_gradient_boosting,M2_CORE,2022-08-01,frozen_test,14683,event_log_change_7d,0.7831701091483744,0.6930294204182084
hist_gradient_boosting,M2_CORE,2022-08-01,frozen_test,14683,counterparty_log_change_7d,0.774184366811073,0.6910725661820608
hist_gradient_boosting,M2_CORE,2022-08-01,frozen_test,14683,active_day_change_7d,0.677616858994917,0.6199676736491619
hist_gradient_boosting,M2_CORE,2022-08-01,frozen_test,14683,incoming_share_change_7d,0.726480482430333,0.565637178327109
hist_gradient_boosting,M2_CORE,2022-08-01,frozen_test,14683,outgoing_share_change_7d,0.6871739651632285,0.634824775752881
hist_gradient_boosting,M2_CORE,2022-08-01,frozen_test,14683,native_share_change_7d,0.5600975218128984,0.5027913792469825
hist_gradient_boosting,M2_CORE,2022-08-01,frozen_test,14683,token_share_change_7d,0.5526844514421256,0.4987640759817331
