target_address,score,rank,fwd30_evt_cnt,fwd30_cp_distinct,fwd30_cp_out_distinct,fwd30_new_cp
0xe46df87d3fc3c68c71b9adfcecb6479e285021d9,4.32963165282404,88,216,186,97,88
0x769ebe155dfa8b7f5ec6b1b138f4d7e741774e64,4.328463977224689,89,80,72,64,54
0x83ad673b6a84ae7df6cf720c8b538d28af43154d,4.326859367138006,90,178,169,125,112
0x4b30697b4eba165510f98f18b11dd205530afad0,4.319783767713674,91,291,277,185,174
0xc89ce9f096ddb405359b22a4863a08e8828e88d7,4.313351406905587,92,208,181,135,97
0xfb934067c8b9cae42f3b296fe977409b4f8e1435,4.3090134530137245,93,193,174,107,89
0x1c8903e8a80dadc2a9f207c39d22bc5b7e6a97d2,4.304610347239663,94,87,80,71,63
0x1c4ea55131e96471df0bc337f5a47e3122ef91c5,4.302504982112523,95,128,120,75,61
0x22a3210edcd1674a56c263cf841726b8ab943e02,4.300356396474326,96,114,110,61,50
0x2a878245b52a2d46cb4327541cbc96e403a84791,4.298521671838594,97,203,164,119,85
0x2d62b7b4ab2aea16f53f78af3544088300040126,4.296928710590323,98,54,50,29,19
0x69945f396a248555a28703a593de3082d6947e4a,4.277366968038537,99,138,125,93,63
0x99f1396495cceaffe82c9e22b8a6ceb9c6b9336d,4.2731259072089305,100,71,70,57,48
0xa17138c0675173b8ea506fb1b96fa754bc316cc2,4.271185485264885,101,136,130,85,70
0x6f72f9fe1f3a7f188b5c394138f4508f79e35323,4.263911949065999,102,404,372,259,236
0x0c6f0e3250b334ca867c02f0aa4cde95f02471d1,4.263272465827454,103,272,267,133,114
0xb284f19ffa703daadf6745d3c655f309d17370a5,4.259503398088615,104,518,463,249,213
0x9032b89569d821e32d1f98f0a109c13c9ce5c6ef,4.252071673339457,105,128,120,62,49
0xdabdc4abdb061b7257e2dcaeb27e6637310a018a,4.251720594904845,106,32,30,24,17
0x3b99cc55c357829fa8ac9bd21ab2ce43f4b56a9c,4.245675117702535,107,107,98,60,41
0x1770c692db5f54a642f7f0b96541e92f37fd7454,4.237409679541699,108,164,154,95,75
0xaa2f4dbfae7eefee3c9e4a587593baef2e1b0d55,4.228654535135662,109,95,91,76,57
0x90f1fd5464053f2a500642b6e0d407cb18e8b6bc,4.2267130916035605,110,153,145,91,76
0xe7bf814ecc1902b84c31337882fcb22a0a47ad90,4.221623927567912,111,113,103,69,51
0x3df364ed7e8a887f7f9c240f7e281a4ea05ce03f,4.215576304924138,112,160,145,98,80
0xdca043d1aa8061d6577b361de32f6ae552b30339,4.208782548990753,113,693,643,240,228
0x4aee91e7d6c6e0c4c0ec10b9757b8d19ab7f427c,4.203553926471261,114,142,124,70,48
0x62ce1d739b9bc6ab5f716a772ea585425d3843b1,4.20321933899503,115,180,153,92,68
0xba0995c52474dfb7c48181f71454a63a2847982c,4.19581933130685,116,128,116,81,66
0xb6c567a0a1b88293e803f2db1bc9bcd77487c2bf,4.194512971548438,117,257,248,165,139
0x44e9d011df8741be2493e99297e9ad67bb1aa85b,4.194417758769102,118,304,277,81,61
