target_address,score,rank,fwd30_evt_cnt,fwd30_cp_distinct,fwd30_cp_out_distinct,fwd30_new_cp
0x0338ce5020c447f7e668dc2ef778025ce398266b,0.9683860932442092,94,645,623,335,314
0x982e09ebd5bf6f4f9cce5d0c84514fb96d91c5f9,0.9681233446840712,95,125,120,74,52
0x685cb9e2035d915331379dcbf09d18084f126ba7,0.9679026358935552,96,213,169,81,33
0xb386e92acf9279cebb13389811c22b77cc649bd6,0.9676503972758228,97,185,177,36,25
0xeeadc5701b5fd25fbcc7fbf04b048cdb1fff1c65,0.9675242779669568,98,43,38,16,9
0xbbc65012ffdbd902c9a80d652b8c1478f1880a0d,0.9674927481397404,99,170,165,62,52
0xfb934067c8b9cae42f3b296fe977409b4f8e1435,0.9671354100979528,100,193,174,107,89
0x6fd6afe08202d7aefdf533ee44dc0e62941c4b22,0.9670513305587084,101,145,140,130,103
0xbc1dcc49ee73022058431e55c646b35f85aca8dd,0.966630932862488,102,47,43,28,15
0x4d375162aa60bd039b5cd8f75f60b328f8002779,0.966284104763106,103,80,79,36,32
0xc93c7f71581dfeaab59bed908888dac5689f312a,0.9660528860301848,104,142,131,100,79
0xb085030e936a9d564f4f159f390e1bc2b4473804,0.9658426871820742,105,300,257,197,162
0x591f8a2decc1c86cce0c7bea22fa921c2c72fb95,0.9651910707529324,106,181,175,39,29
0x354ddeba429d9e43ec1438af5319b2158ad36afd,0.9650334216168496,107,8,7,3,1
0x940e94e2c3ab07b0854b605211291a95d960c244,0.964739143229495,108,238,210,120,96
0x3b99cc55c357829fa8ac9bd21ab2ce43f4b56a9c,0.9646865935174674,109,107,98,60,41
0x0ea80016740a9d94ba752a037db7cf80feab8192,0.9636461092193216,110,11,11,9,5
0xdca043d1aa8061d6577b361de32f6ae552b30339,0.9634569302560222,111,693,643,240,228
0x3fb65feeab83bf60b0d1ffbc4217d2d97a35c8d4,0.963162651868668,112,580,541,296,247
0x4aee91e7d6c6e0c4c0ec10b9757b8d19ab7f427c,0.9628788834237187,113,142,124,70,48
0x2a693ccbda744faf14ecb7c28bd811927bea61a7,0.9623638962458486,114,167,121,87,72
0x694e64d4ad77e0c234b7b1c55ac40302ad86ce3f,0.9621957371673604,115,165,139,108,63
0xf56562a7e747d58e31e9a1043d47ecbe4876c6dd,0.9621431874553328,116,479,465,183,164
0x2d036b57ec3713704db5fbdf0ec3f5991cb79a08,0.9620801278008998,117,85,80,57,43
0x8999020b433a0ac8efdbfe49ef03855aef262eba,0.9620801278008996,118,328,267,133,98
0xb284f19ffa703daadf6745d3c655f309d17370a5,0.9619960482616556,119,518,463,249,213
0x4e9b812bf109cd768bca453778e406824e8ff5e6,0.9613654517173246,120,199,186,99,85
0x2f2fc34e798a5884efb4022c8caa402baf94c35f,0.9612183125236474,121,218,197,135,111
0xdb5f98d56f9731d265cd1ed771ecd4abfafc3902,0.9604300668432336,122,501,485,183,153
0x90e3b67da3cace2349855dcd2b695ad1b370aa4b,0.9603144574767732,123,21,18,16,9
0x753f8dab2ce1e6ec33e2967bcdd4974f60025319,0.9601778282255014,124,98,81,60,49
0x7d5300e22db1b2850da1beed10a894893731c1a7,0.9601357884558792,125,50,46,26,16
0x9032b89569d821e32d1f98f0a109c13c9ce5c6ef,0.9599991592046077,126,128,120,62,49
0x172458ff1b115ba5c2076465977baf6152c5ac72,0.9598730398957414,127,275,270,121,108
0x85026596042cf8cab1b521bcca86c56cf2d2ecae,0.9595262117963592,128,398,384,313,293
0x69fde561275b85dbcd5081d1121bcae64fb83858,0.959473662084332,129,12,10,9,2
0x94aa50fe3c1ad32b0419004eee4f278ca3908876,0.959273973178627,130,127,121,57,39
0x40ebf8a762801d1706d9d16a8abfec4c452d15e5,0.9585908269222684,131,94,87,26,14
0x17cbe8b8ffc41d216dc6300b4221cf0752b82da9,0.9583596081893472,132,30,29,13,10
0xa184c07201b6e3c18013fa6b3f9c76a7a61c4fc7,0.9581073695716148,133,31,30,25,21
0x9f2f31d1d4cba2d61f457378efd9f082307949ed,0.9577605414722328,134,326,290,169,145
0x4936b305102f442080d4711f14c5f0318e3caf74,0.9576449321057722,135,83,78,57,46
0x74ac45c146bcaa47a227c87a32860eb8ac3e57c4,0.9575713625089334,136,269,260,140,112
0xfdc3e8edd74a90fe971ef7d56a0c66c870b10f5d,0.9572350443519568,137,117,106,84,66
0x262456d9a98537f4706324666b28bfa4e9d23446,0.9568041367133308,138,67,59,47,31
0x40a47a0beabb373ffe090c9233eb4126dbaba882,0.956583427922815,139,529,496,310,292
0x50734b1ddbb0011f40e14df926df04d0dd9e7aef,0.9565518980955984,140,10,9,6,3
0x9f128b52128027dd6ea9892f741519979d36fa34,0.955732122587968,141,19,19,8,3
0xcd32f12921ff1b5ddb6b631ee5a31aab8ba314fc,0.955584983394291,142,65,48,35,24
0x64084d818a908d809d0754dc09e32834c048342b,0.9555009038550468,143,42,39,17,11
0xc2b2568982707e9691dce7bb23501071bc06f415,0.955217135410098,144,297,255,180,166
0x178d46f3ad7c43aa25c0c95955cf956a5ad1549e,0.9549859166771766,145,147,136,89,77
0xb3ea523a421604f27e91c12249de2512b3bc4c68,0.9549648967923656,146,52,49,38,29
0xdc2462fb375bde1454017293eace4df1a58f57e0,0.9547021482322277,147,62,52,35,24
0x195fce941ae0c972b8dc814d2059537b67f14038,0.953997982091058,148,41,37,22,11
0x9d455affe240a25adc6cd75293ca6ab2a010ab0f,0.9533358557195108,149,25,23,13,8
0x7fc9435a996e6f07e75c244bd9f345faaf81af8c,0.9530625972169672,150,457,430,271,253
0xf65a82a76874659444b704e75875921636d493c6,0.9529049480808846,151,50,50,10,5
0xcd148897d736801f1db7109821b9e4366ac266d9,0.9528418884264512,152,26,24,11,8
0x2c3b3fea418bf2d82ab2036ee3a35cd9648fab7a,0.9527367890023962,153,51,48,37,22
0x40415c1c0e7a8ff3e184b51a94a2fc5b92df9434,0.9526737293479632,154,71,57,53,43
0x3a949daf5a5d0d77169785b3f5aae4592a4572e1,0.95261066969353,155,27,25,15,9
0xc9eae131858bb939e5117b283dc2ca70b0589fc0,0.9525371000966916,156,18,17,13,9
0x445816ca9bb0146940b802d49ce146787c73b5ca,0.9524004708454198,157,563,533,314,284
0x590f4ca9b70860d1b89be8a7e69f22e59f6dcf6f,0.9523479211333924,158,24,22,15,10
0xc46db2d89327d4c41eb81c43ed5e3dff111f9a8f,0.952137722285282,159,95,88,42,28
0xcfbf3aa72bcc8af0ba064d9e7b83888495a280de,0.9521167024004707,160,163,155,116,109
