target_address,score,rank,fwd30_evt_cnt,fwd30_cp_distinct,fwd30_cp_out_distinct,fwd30_new_cp
0xc7d3e2ad7a2c712b355688b0022580542769d81e,1.780297134459025,91,26,24,22,17
0xc36ee0f2bfa61542659749b635ecc8f17da2daa3,1.7787825621468798,92,18,18,0,0
0x6ba9bab89e215da976776788630bce75e331b87d,1.778780028326827,93,55,52,42,24
0xe64ebc77ef72df8a7689d8928bc004b9e7ff43b3,1.7786700531065975,94,147,129,81,68
0x148089038088cc49cdcf26e0f96776c25e5cfacd,1.778301776473258,95,27,27,0,0
0xd4089ebfd5bf17792fad71286c8d733045c6c8f1,1.7781618388762763,96,22,21,4,3
0xbb8411eb37957e798aa32e15cab7360b88cbe184,1.7777973262782572,97,234,208,82,71
0xa8e53ed5672fdb824e83773654c10fd73e7bd9e4,1.7773582351371104,98,23,23,0,0
0x830077d75c03ecd994c744ef4d2dca5ff4b8d52c,1.7761510079752416,99,50,48,25,19
0x955ad6908568323437be4e5bf5e6698f4a939f29,1.774849021413722,100,16,14,9,6
