m1,m2,K,overlap,overlap_frac,jaccard,random_expected_overlap,random_expected_jaccard
B_act,D_ig_cp,50,1,0.02,0.010101010101010102,0.13499649009125764,0.0013517897696550232
B_act,D_ig_cp,100,4,0.04,0.02040816326530612,0.5399859603650305,0.0027072391575071746
B_act,D_ig_cp,250,16,0.064,0.03305785123966942,3.3749122522814408,0.006795694248124389
B_act,D_ig_cp,500,50,0.1,0.05263157894736842,13.499649009125763,0.01368438338168482
B_act,D_ig_cp,1000,169,0.169,0.0922992900054615,53.99859603650305,0.027748487707419948
B_act,D_ig_act,10,0,0.0,0.0,0.005399859603650306,0.0002700658960786432
B_act,D_ig_act,25,0,0.0,0.0,0.03374912252281441,0.0006754383594953125
B_act,D_ig_act,50,0,0.0,0.0,0.13499649009125764,0.0013517897696550232
B_act,D_ig_act,100,0,0.0,0.0,0.5399859603650305,0.0027072391575071746
B_act,D_ig_act,250,0,0.0,0.0,3.3749122522814408,0.006795694248124389
B_act,D_ig_act,500,0,0.0,0.0,13.499649009125763,0.01368438338168482
B_act,D_ig_act,1000,71,0.071,0.0368066355624676,53.99859603650305,0.027748487707419948
B_new,C_struct,10,3,0.3,0.17647058823529413,0.005399859603650306,0.0002700658960786432
B_new,C_struct,25,9,0.36,0.21951219512195122,0.0337491225228144,0.0006754383594953123
B_new,C_struct,50,16,0.32,0.19047619047619047,0.1349964900912576,0.001351789769655023
B_new,C_struct,100,31,0.31,0.1834319526627219,0.5399859603650304,0.002707239157507174
B_new,C_struct,250,109,0.436,0.27877237851662406,3.3749122522814408,0.006795694248124389
B_new,C_struct,500,225,0.45,0.2903225806451613,13.499649009125763,0.01368438338168482
B_new,C_struct,1000,495,0.495,0.3289036544850498,53.99859603650305,0.027748487707419948
B_new,C_novol,10,4,0.4,0.25,0.005399859603650306,0.0002700658960786432
B_new,C_novol,25,10,0.4,0.25,0.0337491225228144,0.0006754383594953123
B_new,C_novol,50,18,0.36,0.21951219512195122,0.1349964900912576,0.001351789769655023
B_new,C_novol,100,37,0.37,0.22699386503067484,0.5399859603650304,0.002707239157507174
B_new,C_novol,250,118,0.472,0.3089005235602094,3.3749122522814408,0.006795694248124389
B_new,C_novol,500,242,0.484,0.31926121372031663,13.499649009125763,0.01368438338168482
B_new,C_novol,1000,506,0.506,0.3386880856760375,53.99859603650305,0.027748487707419948
B_new,D_ig_cp,10,0,0.0,0.0,0.005399859603650306,0.0002700658960786432
B_new,D_ig_cp,25,0,0.0,0.0,0.03374912252281441,0.0006754383594953125
B_new,D_ig_cp,50,2,0.04,0.02040816326530612,0.13499649009125764,0.0013517897696550232
B_new,D_ig_cp,100,4,0.04,0.02040816326530612,0.5399859603650305,0.0027072391575071746
B_new,D_ig_cp,250,18,0.072,0.03734439834024896,3.3749122522814408,0.006795694248124389
B_new,D_ig_cp,500,46,0.092,0.04821802935010482,13.499649009125763,0.01368438338168482
B_new,D_ig_cp,1000,170,0.17,0.09289617486338798,53.99859603650305,0.027748487707419948
B_new,D_ig_act,10,0,0.0,0.0,0.005399859603650306,0.0002700658960786432
B_new,D_ig_act,25,0,0.0,0.0,0.03374912252281441,0.0006754383594953125
B_new,D_ig_act,50,0,0.0,0.0,0.13499649009125764,0.0013517897696550232
B_new,D_ig_act,100,0,0.0,0.0,0.5399859603650305,0.0027072391575071746
B_new,D_ig_act,250,0,0.0,0.0,3.3749122522814408,0.006795694248124389
B_new,D_ig_act,500,0,0.0,0.0,13.499649009125763,0.01368438338168482
B_new,D_ig_act,1000,74,0.074,0.03842159916926272,53.99859603650305,0.027748487707419948
C_struct,D_ig_cp,10,0,0.0,0.0,0.00539550094282489,0.0002698478453564465
C_struct,D_ig_cp,25,0,0.0,0.0,0.03372188089265556,0.0006748927909393386
C_struct,D_ig_cp,50,0,0.0,0.0,0.13488752357062225,0.0013506971576531196
C_struct,D_ig_cp,100,2,0.02,0.010101010101010102,0.539550094282489,0.0027050480159727286
C_struct,D_ig_cp,250,13,0.052,0.026694045174537988,3.3721880892655562,0.006790171650458602
C_struct,D_ig_cp,500,42,0.084,0.04384133611691023,13.488752357062225,0.013673186584836997
C_struct,D_ig_cp,1000,128,0.128,0.06837606837606838,53.9550094282489,0.027725468676033455
C_struct,D_ig_act,10,0,0.0,0.0,0.00539550094282489,0.0002698478453564465
