snapshot_date,target_address,target_sequence_index,cp_type,stratum,activity,pop_weight,pool_n,truth_in_pool,cheap_rank,cheap_rr,obs_rank,mask_rank,full_rank,full_rr,full_parse_ok,belief_shift,mask_sensitive,nocf_rank,nocf_rr,nocf_parse_ok,llm_calls,prompt_tokens,completion_tokens,total_tokens,nocf_total_tokens,latency_s,model
2022-06-01,0x255609ed48f08914e029701adf44743941cb820c,162,repeat,repeat_hard,low,72.992,35,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,6798,393,7191,2164,12.977,glm-5.3
2022-06-01,0xb02690b16fd8696ef13a63e3272404b3ea12d00e,1168,repeat,repeat_hard,high,972.304,53,1,2.5,0.4,5.0,5.0,5.0,0.2,1,reinforce,False,5.0,0.2,1,4,9479,473,9952,3058,23.34,glm-5.3
2022-06-01,0xd77386e3fcc03d6d844a148c347479b92a446f2a,68,repeat,repeat_hard,low,72.992,28,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,5763,473,6236,1816,14.649,glm-5.3
2022-06-01,0x5ed2698484c888c5701bc0af690cca67f67bc000,1912,repeat,repeat_hard,high,972.304,53,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,,,0,4,6491,282,6773,,126.072,glm-5.3
2022-06-01,0x92e9b91aa2171694d740e7066f787739ca1af9de,5159,repeat,repeat_hard,high,972.304,53,1,5.5,0.18181818181818182,3.0,3.0,3.0,0.3333333333333333,1,reinforce,True,3.0,0.3333333333333333,1,4,9475,368,9843,3058,14.266,glm-5.3
2022-06-01,0xf001f637dd73dab0b652e0b1b1f3828ebd9e0668,16,repeat,repeat_hard,low,72.992,23,1,2.5,0.4,6.0,6.0,6.0,0.16666666666666666,1,reinforce,False,6.0,0.16666666666666666,1,4,5007,378,5385,1569,13.849,glm-5.3
2022-06-01,0xdaf21f14968f451c631bc1b0f92baa233b6be02e,582,repeat,repeat_hard,high,972.304,53,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9488,384,9872,3059,12.353,glm-5.3
2022-06-01,0xc9c6e823d0fe7e9496328da8f75294e12b5a6998,5481,repeat,repeat_hard,high,972.304,53,1,4.5,0.2222222222222222,2.0,2.0,2.0,0.5,1,reinforce,False,1.0,1.0,1,4,9469,437,9906,3067,16.613,glm-5.3
2022-06-01,0xd0d9c3a7583d11f0bb75272a0566005fcfe8b1d6,540,repeat,repeat_hard,high,972.304,53,1,3.5,0.2857142857142857,6.0,1.0,1.0,1.0,1,flip,True,23.0,0.043478260869565216,1,4,9473,581,10054,3081,29.762,glm-5.3
2022-06-01,0xaed3d37b761bf61767208da1dbb3a971b9f13fb5,1376,repeat,repeat_hard,high,972.304,53,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9485,442,9927,3062,13.822,glm-5.3
2022-06-01,0x3c1f1cba5a8d1d46d8874545ddd05aabb1966c33,29,repeat,repeat_hard,low,72.992,27,1,2.5,0.4,11.0,5.0,5.0,0.2,1,flip,True,11.0,0.09090909090909091,1,4,5601,393,5994,1747,13.441,glm-5.3
2022-06-01,0x0b3abab368616a5db055f2030a0a2a3b00144a45,708,repeat,repeat_hard,high,972.304,53,1,3.5,0.2857142857142857,13.0,1.0,1.0,1.0,1,flip,True,13.0,0.07692307692307693,1,4,9470,499,9969,3069,40.793,glm-5.3
2022-06-01,0x7c29d8d1ab26ce4c2e1c0f0fad141e8544129326,72,repeat,repeat_hard,low,72.992,35,1,4.5,0.2222222222222222,,2.0,2.0,0.5,0,,,2.0,0.5,1,3,4238,212,4450,2161,161.769,glm-5.3
2022-06-01,0x2163b581864ec78baee326e002932ca355999fdc,79,repeat,repeat_hard,low,72.992,27,1,2.5,0.4,6.0,6.0,6.0,0.16666666666666666,1,reinforce,False,6.0,0.16666666666666666,1,4,5607,394,6001,1771,53.703,glm-5.3
2022-06-01,0xcb60a7e36bc53410c54b2af8d2992b0d416a33fa,451,repeat,repeat_hard,high,972.304,53,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9480,393,9873,3057,12.698,glm-5.3
2022-06-01,0x7fce4822ad5d17259e05aae42cc3f1d8e9ed9cf8,94,repeat,repeat_hard,low,72.992,36,1,2.5,0.4,8.0,8.0,8.0,0.125,1,reinforce,False,8.0,0.125,1,4,6930,358,7288,2208,24.691,glm-5.3
2022-06-01,0x0e8fd45fffd94e52d3cfd884578adcfafd884b53,275,repeat,repeat_hard,high,972.304,47,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,8586,366,8952,2762,27.212,glm-5.3
2022-06-01,0xc85832876c103fb8ad486d33741dcde3bd76ef4f,38,repeat,repeat_hard,low,72.992,25,1,3.5,0.2857142857142857,1.0,,1.0,1.0,0,,,1.0,1.0,1,3,3295,229,3524,1685,185.252,glm-5.3
2022-06-01,0x9c0998152d9654b3dcad1da31bb01bfa0b61892f,920,repeat,repeat_hard,high,972.304,43,1,4.5,0.2222222222222222,9.0,2.0,2.0,0.5,1,flip,True,,,0,4,5513,354,5867,,87.205,glm-5.3
2022-06-01,0x26728ca3a828fc8f2c730e190355675e2d4c6915,102,repeat,repeat_hard,low,72.992,45,1,3.5,0.2857142857142857,6.0,1.0,1.0,1.0,1,flip,True,6.0,0.16666666666666666,1,4,8283,418,8701,2665,39.46,glm-5.3
2022-06-01,0x2492bd7b98e3e21898711c0a28b0d0a707b2a61a,146,repeat,repeat_hard,low,72.992,41,1,2.5,0.4,6.0,,6.0,0.16666666666666666,0,,,9.0,0.1111111111111111,1,3,4879,414,5293,2612,168.125,glm-5.3
2022-06-01,0x1f7ed1ac71aec7a4eadb6cbcfca7f287301412f2,943,repeat,repeat_hard,high,972.304,53,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9464,361,9825,3057,16.354,glm-5.3
2022-06-01,0x620b70123fb810f6c653da7644b5dd0b6312e4d8,59979,repeat,repeat_hard,high,972.304,53,1,2.5,0.4,6.0,41.0,6.0,0.16666666666666666,1,flip,True,6.0,0.16666666666666666,1,4,9452,468,9920,3067,19.828,glm-5.3
2022-06-01,0xaa45fdcdcd6c895feaf22d2242c8b63c527f4a4e,282,repeat,repeat_hard,low,72.992,24,1,2.5,0.4,24.0,6.0,6.0,0.16666666666666666,1,,1,24.0,0.041666666666666664,1,4,4815,274,5089,1596,140.429,glm-5.3
2022-06-01,0xf2a181a78c60cabb5466af35f58a07b76f6cf70b,1772,repeat,repeat_hard,high,972.304,53,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9473,376,9849,3055,29.668,glm-5.3
2022-06-01,0x54d3c2dc47a7a5812b8a43b0aeea3cf65d1139e4,583,repeat,repeat_hard,high,972.304,45,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,8298,416,8714,2662,17.037,glm-5.3
2022-06-01,0xa52272a01bba36a827a62d1d2b48053844a42e70,463,repeat,repeat_hard,high,972.304,53,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,reinforce,False,1.0,1.0,1,4,9507,376,9883,3066,72.144,glm-5.3
2022-06-01,0xd4a303493b1a49ac603c0d21d03ff5ef005a1dcd,168,repeat,repeat_hard,low,72.992,45,1,3.5,0.2857142857142857,1.0,1.0,1.0,1.0,1,same,False,1.0,1.0,1,4,8292,354,8646,2657,14.424,glm-5.3
