experiment_id,date,split,selector,K,stratum,stratum_n,selected_n,selected_share_of_stratum,selected_rv_mean,selected_z0_rate,selected_z1_rate,incremental_sum_mrr,incremental_mrr_over_all_events,selected_volume_mean,selection_is_expected_random
SEL_BENCH_001,2022-09-01,holdout_sep,dynamic_influence,100,new_popular,250,15.0,0.06,-0.007729607123743861,0.4666666666666667,0.2,-0.11594410685615791,-0.00011594410685615791,170.07999999999998,False
SEL_BENCH_001,2022-09-01,holdout_sep,dynamic_influence,100,new_tail,250,30.0,0.12,-0.0690841700194826,0.3,0.2,-2.072525100584478,-0.002072525100584478,818.7119999999999,False
SEL_BENCH_001,2022-09-01,holdout_sep,dynamic_influence,100,repeat_easy,250,24.0,0.096,0.07239954489954491,0.375,0.375,1.7375890775890779,0.0017375890775890778,1353.744,False
SEL_BENCH_001,2022-09-01,holdout_sep,dynamic_influence,100,repeat_hard,250,31.0,0.124,0.2769418865956849,0.6774193548387096,0.5161290322580645,8.585198484466233,0.008585198484466233,793.2799999999997,False
SEL_BENCH_001,2022-09-01,holdout_sep,reasoning_value,100,new_popular,250,19.0,0.076,0.0073445301224932535,0.15789473684210525,0.15789473684210525,0.13954607232737182,0.00013954607232737182,73.51242105263157,False
SEL_BENCH_001,2022-09-01,holdout_sep,reasoning_value,100,new_tail,250,29.0,0.116,-0.059688906846543655,0.3103448275862069,0.20689655172413793,-1.730978298549766,-0.0017309782985497658,692.1161379310345,False
SEL_BENCH_001,2022-09-01,holdout_sep,reasoning_value,100,repeat_easy,250,6.0,0.024,-0.2917710944026733,0.16666666666666666,0.16666666666666666,-1.7506265664160399,-0.0017506265664160399,500.8853333333332,False
SEL_BENCH_001,2022-09-01,holdout_sep,reasoning_value,100,repeat_hard,250,46.0,0.184,0.4371222942115064,0.7608695652173914,0.6956521739130435,20.107625533729294,0.020107625533729294,760.9179130434779,False
SEL_BENCH_001,2022-09-01,holdout_sep,hybrid,100,new_popular,250,4.0,0.016,-0.125,0.0,0.0,-0.5,-0.0005,39.024,False
SEL_BENCH_001,2022-09-01,holdout_sep,hybrid,100,new_tail,250,17.0,0.068,-0.02766363217836598,0.23529411764705882,0.17647058823529413,-0.47028174703222164,-0.00047028174703222164,818.712,False
SEL_BENCH_001,2022-09-01,holdout_sep,hybrid,100,repeat_easy,250,10.0,0.04,-0.057909196067090794,0.3,0.3,-0.579091960670908,-0.000579091960670908,842.0288,False
SEL_BENCH_001,2022-09-01,holdout_sep,hybrid,100,repeat_hard,250,69.0,0.276,0.4518574413007315,0.8115942028985508,0.7536231884057971,31.178163449750475,0.031178163449750475,793.2799999999997,False
SEL_BENCH_001,2022-09-01,holdout_sep,oracle,100,new_popular,250,23.0,0.092,0.9340944867993936,1.0,1.0,21.484173196386052,0.021484173196386052,118.79721739130434,False
SEL_BENCH_001,2022-09-01,holdout_sep,oracle,100,new_tail,250,10.0,0.04,0.9048296960624269,1.0,1.0,9.048296960624269,0.009048296960624268,451.584,False
SEL_BENCH_001,2022-09-01,holdout_sep,oracle,100,repeat_easy,250,31.0,0.124,0.9174295539646594,1.0,1.0,28.440316172904442,0.02844031617290444,1147.4072258064512,False
SEL_BENCH_001,2022-09-01,holdout_sep,oracle,100,repeat_hard,250,36.0,0.144,0.9145519604703914,1.0,1.0,32.92387057693409,0.03292387057693409,524.4948888888889,False
