experiment_id,eval,K,selector,baseline,n_events,n_wallet_clusters,bootstrap_B,point_incremental_diff,ci95_low,ci95_high,p_two_sided,relative_improvement_vs_baseline,holm_p_all_registered_comparisons,holm_p_primary_K100_family
SEL_STATS_001,test_aug,250,dynamic_influence,activity,1000,841,2000,0.006089071514470846,-0.002716575263816225,0.015784538702876952,0.1889055472263868,0.3135572202091286,1.0,
SEL_STATS_001,test_aug,250,dynamic_influence,static_pagerank,1000,841,2000,-0.006218211984150681,-0.01825017108796449,0.005652468893569351,0.3118440779610195,-0.1959935543090419,1.0,
SEL_STATS_001,test_aug,250,dynamic_influence,no_selection,1000,841,2000,0.025508402730667075,0.011697575417000585,0.039703589915681875,0.0009995002498750624,,0.3148425787106447,
SEL_STATS_001,test_aug,500,hybrid,random,1000,841,2000,0.08920525440598068,0.0763806189372267,0.10154931351665579,0.0009995002498750624,1.623273168055229,0.3148425787106447,
SEL_STATS_001,test_aug,500,hybrid,volume,1000,841,2000,0.08012124275701472,0.06248548593067084,0.09843334389237059,0.0009995002498750624,1.2511525140800257,0.3148425787106447,
SEL_STATS_001,test_aug,500,hybrid,activity,1000,841,2000,0.0817323967121798,0.06335261435771407,0.09998020479472243,0.0009995002498750624,1.3092518156273592,0.3148425787106447,
SEL_STATS_001,test_aug,500,hybrid,static_pagerank,1000,841,2000,0.08696472778744513,0.06841556586242883,0.10632037481536444,0.0009995002498750624,1.5205094948031628,0.3148425787106447,
SEL_STATS_001,test_aug,500,hybrid,no_selection,1000,841,2000,0.1441591932509463,0.12178780790136559,0.166774622461942,0.0009995002498750624,,0.3148425787106447,
SEL_STATS_001,test_aug,500,reasoning_value,random,1000,841,2000,0.0976418567868019,0.08460871416721365,0.10967840613230048,0.0009995002498750624,1.7767945089844444,0.3148425787106447,
SEL_STATS_001,test_aug,500,reasoning_value,volume,1000,841,2000,0.08855784513783595,0.07040180680392981,0.10662987011021538,0.0009995002498750624,1.3828963053123933,0.3148425787106447,
SEL_STATS_001,test_aug,500,reasoning_value,activity,1000,841,2000,0.09016899909300102,0.07163296869570594,0.10829330527850345,0.0009995002498750624,1.4443957417710331,0.3148425787106447,
SEL_STATS_001,test_aug,500,reasoning_value,static_pagerank,1000,841,2000,0.09540133016826634,0.07636690767158685,0.11431885130103515,0.0009995002498750624,1.668016815877875,0.3148425787106447,
SEL_STATS_001,test_aug,500,reasoning_value,no_selection,1000,841,2000,0.15259579563176753,0.12962915547677456,0.17441691289910552,0.0009995002498750624,,0.3148425787106447,
SEL_STATS_001,test_aug,500,dynamic_influence,random,1000,841,2000,0.01519667234557867,0.0010942208638943674,0.02969411509161352,0.038980509745127435,0.27653472462549145,1.0,
SEL_STATS_001,test_aug,500,dynamic_influence,volume,1000,841,2000,0.0061126606966127135,-0.005767035742294125,0.017771116155433135,0.32083958020989506,0.09545372157392773,1.0,
