target_address,bridges_events,icf_score_p1,icf_raw_signal,p1_rank
0x520e3ff45c84b87dfbe6ad5b7c1e0ddf09f6fb19,313,101.8731,6.9556,163
0x2ea4815f47d685ed317e8bd243b89bcb26b369fa,1463,101.505,1.0181,164
0x25665e8b95792c23d6167d2d0903fdc6bfef87e9,477,99.995,2.4844,165
0x4d375162aa60bd039b5cd8f75f60b328f8002779,1323,99.9871,1.8555,166
0x18651bc48bc18110c99332f63bb921cf0592ca53,465,99.8321,8.1579,167
0xc2978441f46a76c60e0cd59e986498b75a40572d,1333,99.6681,1.0579,168
0x205d576b2556b21238bf7d1b476b92e4b2fc556f,371,98.6793,37.1,169
0x63278f5a5f5303ec9c146cca3f51ae36db357e9f,207,98.1042,3.6964,170
0x24d9be8c2589c9873bc636e24972cdb891cdbc25,197,97.9031,1.4173,171
0xa3ffe0852407580a043e704d1767adfc6d7acc41,180,97.4879,7.5,172
0xb7a21a89e29dd4529c16e6857418ffa2d81bcd3a,306,97.369,38.25,173
0xbd7a1c16d7b3af4af6d1a0fd7437466d765656ce,326,97.2516,6.3922,174
0x48947015e7e7c7eb129fcdb006dafb90257cc09e,167,97.152,2.0366,175
0x445816ca9bb0146940b802d49ce146787c73b5ca,1115,96.9628,1.813,176
0x4d42d679cc113ff293f96e1b820209c661ee32e6,318,96.7529,2.972,177
0xc68d994c192e1fcdcf281f9579c3337d9b618775,134,96.5945,0.6036,178
0x655198359d6f0f995aa88f41d8e94354e37ebe7c,344,95.8225,3.3725,179
0x388f87fd24b07bbba4500f5fb059375892ed5872,219,95.3719,4.5625,180
0x1702f2d0df7c99011a690461c34e51bd81cbab48,244,95.0755,0.5661,181
0xb012a1bdca34e1d0c2267bb50e6c53c8042eb4b6,101,94.9758,3.8846,182
0xb86c04bc25699f2167ce7ef83356ae168afe2f74,272,94.9742,2.4286,183
0xfa7dc9248f3c1521e2cdeca0b488c561d83b035c,128,94.7348,3.4595,184
0x38ff9837ccddf029f1fd319f9252acb1881d9927,843,94.6546,2.0815,185
0x59ad46edbb8266b3280502445c3eacf7eb54690e,165,94.6048,3.0,186
0x08c3a0ea4ea8611a0e2f6fe85532d8728f9ce85d,515,93.8264,2.173,187
0x9d9d3bca9ae1126244786089d81ba9b289970238,133,93.7979,22.1667,188
0xdb5cf3013a437ce5437b241b9f39b04f5d0bbb71,101,93.7844,0.9266,189
0x9e0149f7cc28c93a3b5f76ab3e8a2a22d14435b5,102,93.4683,2.2174,190
0x9d509c23f0170760920fdf24d0315e7e70903fc6,239,93.0606,3.1867,191
0xab7afccc70c9fe594849d7a2c3282af71e5e0ac5,572,92.6962,5.2,192
0x820948a2e6e449d46b670fe6aa51e6d569f78d04,428,92.4847,61.1429,193
0xcb60a7e36bc53410c54b2af8d2992b0d416a33fa,147,92.2233,3.4186,194
0x9de120390bc60eb3b6adc5b1ec10b7e65dc98dd5,262,92.0036,0.9258,195
0x634a243952c662c1623b473c934969c738ebf510,587,91.9162,5.0603,196
0xc7f2be6f8890d98277c848c8904ec2a4879dfc25,247,91.8975,3.8,197
0x0f278c56b52b4c0e2a69b30a0b591d237c783907,288,91.835,5.76,198
0x04e711b5b799224c8a921bfd596732f85795450d,92,91.721,23.0,199
0x8e0db33daf2bd5237fa3c913518b81c468cb5b1c,214,91.5094,0.8492,200
0x32e3adab13ce9dc388da4a74fa2b7cad5af2de53,273,91.2047,6.5,201
0x54c6c8a116cb38f026f2d56d87d96b6d190d4aa4,194,91.2038,7.76,202
0xe643f2eadc6ecbdab108383ef70c44db32fc980e,308,91.1411,4.7385,203
0x1f687ff00fa6b0ce7825e9f90ee4f05b5b8ecee6,238,91.0782,0.8592,204
0xb69e9610747520016bde2a89e3407c5992759748,1173,91.0282,7.1524,205
0xf093527b0062f578e40982200e88a004ba8e4578,152,90.8898,1.4206,206
0x96234e93d9fb27fda6414d89adeb963f126f4704,522,90.7859,3.0888,207
0xce266203cc90f26b346a9f359fea7ced2f4e62dd,247,90.5452,1.5247,208
