n,log_loss,balanced_accuracy,macro_f1,model,target,split,descriptive_direct
1000,0.7966915348399775,0.6397118623463586,0.6098690685680096,B2_M1_SINGLE_LLM,new_counterparties,test,
1000,0.7792792431589582,0.649288241426509,0.6464874314882119,B3_M1_MULTI_LLM,activity,dev,
1000,0.7806168516804209,0.6691194754899438,0.6419985972500356,B3_M1_MULTI_LLM,activity,test,
1000,0.9067902559631165,0.598999998685981,0.591197428762008,B3_M1_MULTI_LLM,active_days,dev,
1000,0.8644497884605059,0.5895032802249297,0.5621428435855457,B3_M1_MULTI_LLM,active_days,test,
1000,0.8243448143488816,0.645639687170891,0.6389845557014042,B3_M1_MULTI_LLM,counterparty_breadth,dev,
1000,0.8220732280229872,0.6351674353134941,0.6060117595795101,B3_M1_MULTI_LLM,counterparty_breadth,test,
1000,0.7604987829091071,0.6445224328468142,0.6356605269198209,B3_M1_MULTI_LLM,new_counterparties,dev,
1000,0.7879404633620531,0.6460367009972896,0.6174540720844575,B3_M1_MULTI_LLM,new_counterparties,test,
1000,0.7634633195009828,0.664566150804683,0.657289649934503,B4_M1_VERIFIED_LLM,activity,dev,
1000,0.8148776271528407,0.6530951501864316,0.6083780271338262,B4_M1_VERIFIED_LLM,activity,test,
1000,0.8949735380208022,0.6066106653666639,0.5971250682282849,B4_M1_VERIFIED_LLM,active_days,dev,
1000,0.8855713483702883,0.5969844949768986,0.5641258516401847,B4_M1_VERIFIED_LLM,active_days,test,
1000,0.8269177215869574,0.6330953072626371,0.6173266343709648,B4_M1_VERIFIED_LLM,counterparty_breadth,dev,
1000,0.844362451272247,0.624393770502891,0.5893618352174191,B4_M1_VERIFIED_LLM,counterparty_breadth,test,
1000,0.7582508373606401,0.6552901815295052,0.634318884951057,B4_M1_VERIFIED_LLM,new_counterparties,dev,
1000,0.8159615231800967,0.6452440066241162,0.6054103895823819,B4_M1_VERIFIED_LLM,new_counterparties,test,
1000,28.005918683344024,0.17600303508113702,0.14666666666666667,B2_DIRECT_SINGLE,activity,dev,True
1000,29.30349020535224,0.1857043815622663,0.13603280224489375,B2_DIRECT_SINGLE,activity,test,True
1000,23.680680276649966,0.23037577220516917,0.1952950253331106,B2_DIRECT_SINGLE,active_days,dev,True
1000,25.0142954520473,0.24715138361367336,0.18096250113480047,B2_DIRECT_SINGLE,active_days,test,True
1000,18.382263228449744,0.3721951567182897,0.2923851933057639,B2_DIRECT_SINGLE,counterparty_breadth,dev,True
1000,21.84245395380499,0.3696311581450023,0.2543544690603514,B2_DIRECT_SINGLE,counterparty_breadth,test,True
1000,19.319398216566793,0.33512469695000296,0.2772285049678519,B2_DIRECT_SINGLE,new_counterparties,dev,True
1000,20.68905704535324,0.361875479286462,0.2793199831993313,B2_DIRECT_SINGLE,new_counterparties,test,True
1000,10.020825005142015,0.24177292169423567,0.21109237083263058,B3_DIRECT_MULTI,activity,dev,True
1000,10.264137854520389,0.21644300180328344,0.18542055459333953,B3_DIRECT_MULTI,activity,test,True
1000,8.825334811147517,0.271868911711939,0.2415805581798142,B3_DIRECT_MULTI,active_days,dev,True
1000,9.594548760073717,0.2901724789950509,0.23905723905723908,B3_DIRECT_MULTI,active_days,test,True
1000,9.694708830702618,0.40166666365938847,0.3533471925299361,B3_DIRECT_MULTI,counterparty_breadth,dev,True
1000,12.205739870897451,0.39128866687478675,0.3026971409162387,B3_DIRECT_MULTI,counterparty_breadth,test,True
1000,9.975355881581054,0.3741879225721789,0.3424154060853357,B3_DIRECT_MULTI,new_counterparties,dev,True
1000,11.592330707637851,0.37739729195381805,0.3192852015024293,B3_DIRECT_MULTI,new_counterparties,test,True
1000,8.670208077239934,0.26133652089739096,0.22830022980345802,B4_DIRECT_VERIFIED,activity,dev,True
1000,10.624641241022182,0.22401213919739837,0.19463805915395616,B4_DIRECT_VERIFIED,activity,test,True
1000,7.487728934002163,0.28852378505802706,0.258054461346585,B4_DIRECT_VERIFIED,active_days,dev,True
1000,9.975260171677194,0.28660725540812354,0.2482785423990007,B4_DIRECT_VERIFIED,active_days,test,True
1000,7.990338812147631,0.33599116581951644,0.3181794695319066,B4_DIRECT_VERIFIED,counterparty_breadth,dev,True
1000,10.939502691494676,0.39431004741503445,0.3482471737628033,B4_DIRECT_VERIFIED,counterparty_breadth,test,True
1000,8.219034192487182,0.3243190848852555,0.3112651190744497,B4_DIRECT_VERIFIED,new_counterparties,dev,True
1000,10.797273376236335,0.4023872495388057,0.36901259698578603,B4_DIRECT_VERIFIED,new_counterparties,test,True
