scope,outcome,feature,n,pearson_r,pearson_p,spearman_rho,spearman_p
dev,macro_gain_B4_vs_B0,evidence_unique_count,1000,0.001938601289008552,0.9511781572301958,0.0021192825705395168,0.9466343616838415
dev,macro_gain_B4_vs_B0,self_sensitivity,1000,0.015432457126688021,0.6259495299913177,0.04404173979635505,0.16402675212442833
dev,macro_gain_B4_vs_B0,market_sensitivity,1000,0.016827068093413323,0.5950787750431861,0.05395888729142992,0.08811272337032641
dev,macro_gain_B4_vs_B0,placebo_sensitivity,1000,-0.007196038001155375,0.8202083311711487,0.02306491036433148,0.46627013056675165
dev,macro_gain_B4_vs_B0,intervention_sensitivity,1000,0.021252878950984197,0.5020228824824503,0.050434837303908346,0.11095635849457924
dev,macro_gain_B4_vs_B0,evidence_aligned_intervention_margin,1000,0.01555647315932433,0.6231765669180211,0.021686525933571295,0.49333698276703875
dev,macro_gain_B4_vs_B0,event_count_7d,1000,0.008010830210922429,0.8002590053997537,0.02612858246940461,0.4091639346613274
dev,macro_gain_B4_vs_B0,history_event_count_30d,1000,-0.012694450215325982,0.688458528777,-0.019101338092208976,0.5462845833847998
dev,macro_gain_B4_vs_B0,active_days_30d,1000,0.02787014762810333,0.3786425652438704,-0.006829855042465912,0.8292127402888748
dev,macro_gain_B4_vs_B0,panel_prior_case_count,1000,0.010558134519141511,0.7387801075521909,0.0245807797202618,0.43747883270041343
test,macro_gain_B4_vs_B0,llm_top_probability,1000,-0.011659111079331938,0.7126906717090379,-0.031698991865239126,0.31662956930726327
test,macro_gain_B4_vs_B0,llm_probability_margin_top_second,1000,-0.010273735346232188,0.7455699212430867,-0.03136045894921414,0.3218281258130779
test,macro_gain_B4_vs_B0,llm_abstain,1000,-0.03465941261617274,0.2735231960503621,0.025072062306228646,0.428371702894754
test,macro_gain_B4_vs_B0,llm_mean_target_confidence,1000,-0.0063035848022164245,0.8421927209948814,-0.041585719811662744,0.1888530742534261
test,macro_gain_B4_vs_B0,llm_mean_target_entropy_nats,1000,-0.0014078493622034893,0.9645341921218766,0.035101155176106624,0.26745199907504125
test,macro_gain_B4_vs_B0,hypothesis_entropy_nats,1000,0.010933093614893688,0.7298593150556149,0.02530330113458687,0.4241235313178055
test,macro_gain_B4_vs_B0,hypothesis_entropy_normalized,1000,0.017280756452070632,0.5851877616818284,0.03220307817493967,0.3089912704557034
test,macro_gain_B4_vs_B0,evidence_claim_count,1000,-0.007992145691365072,0.8007150749147451,-0.032651902570445625,0.30229354423415655
test,macro_gain_B4_vs_B0,evidence_unique_count,1000,-0.0007977640572119551,0.9798986545803325,-0.0005844030748647974,0.9852740130197504
test,macro_gain_B4_vs_B0,self_sensitivity,1000,0.029675094744890995,0.34853142194295134,-0.020779963435474228,0.5115866416224804
test,macro_gain_B4_vs_B0,market_sensitivity,1000,0.045155867526862195,0.15360992762715245,-0.005166507379815151,0.8703798180590736
test,macro_gain_B4_vs_B0,placebo_sensitivity,1000,-0.09741999967554636,0.0020411646561263796,-0.09108989410183994,0.003940227135005375
test,macro_gain_B4_vs_B0,intervention_sensitivity,1000,0.054915053701354105,0.0826161230955883,-0.0240175112337501,0.448056027889559
test,macro_gain_B4_vs_B0,evidence_aligned_intervention_margin,1000,0.1055045081168323,0.0008332625342705061,0.03156699437418652,0.3186499603837716
test,macro_gain_B4_vs_B0,event_count_7d,1000,-0.036238232627048436,0.25225211022233374,0.011602786672815292,0.7140175563985514
test,macro_gain_B4_vs_B0,history_event_count_30d,1000,-0.024420370045501183,0.4404763422613928,-0.02098988588401113,0.5073296974446195
test,macro_gain_B4_vs_B0,active_days_30d,1000,-0.033912438791906266,0.2840020354889513,-0.018302475360027264,0.5631968594811874
test,macro_gain_B4_vs_B0,panel_prior_case_count,1000,-0.03701638741371395,0.24220316120153698,-0.032738663743037716,0.3010100308118687
oos_all,activity_gain_B4_vs_B0,self_sensitivity,2000,0.04971015728809294,0.02620970522234858,0.02111659175643213,0.34523223303343914
oos_all,activity_gain_B4_vs_B0,market_sensitivity,2000,0.022517967308089897,0.314159653378354,0.0417352501290144,0.06202691270063811
oos_all,activity_gain_B4_vs_B0,intervention_sensitivity,2000,0.051158799768329974,0.022139910812601957,0.03849001804859003,0.08527124645126509
oos_all,activity_gain_B4_vs_B0,evidence_aligned_intervention_margin,2000,0.06947355701472935,0.0018787035576201196,0.05018591219338395,0.024807102307057394
oos_all,activity_gain_B4_vs_B0,llm_top_probability,2000,-0.0014343311042350239,0.9488864870877447,0.004968062643907701,0.8242819786221919
oos_all,activity_gain_B4_vs_B0,llm_probability_margin_top_second,2000,0.002162739920070122,0.9229961563962323,0.012774946713310554,0.5680138035998015
oos_all,activity_gain_B4_vs_B0,llm_abstain,2000,-0.026023859553251913,0.24471113710777995,0.014425831997767823,0.5190742768905107
oos_all,activity_gain_B4_vs_B0,llm_mean_target_confidence,2000,-0.021187965534371814,0.3436038528831079,0.012023746042138152,0.5909902908340101
oos_all,activity_gain_B4_vs_B0,llm_mean_target_entropy_nats,2000,0.002501742556909035,0.9109728235090888,-0.021221678371693777,0.3428364076778629
oos_all,activity_gain_B4_vs_B0,hypothesis_entropy_nats,2000,0.005836904242349068,0.7941901986250374,0.000920984856724795,0.9671667843146531
oos_all,activity_gain_B4_vs_B0,hypothesis_entropy_normalized,2000,0.009648914760400352,0.6662845285445947,-0.009159899878979859,0.6822493216637845
oos_all,activity_gain_B4_vs_B0,evidence_claim_count,2000,0.00441392535373532,0.8436128935105809,0.011912132257356505,0.5944402683090373
oos_all,activity_gain_B4_vs_B0,event_count_7d,2000,-0.024087372086267253,0.28161306974893047,0.004026937931075881,0.8571696197491437
oos_all,activity_gain_B4_vs_B0,history_event_count_30d,2000,-0.026704107661114952,0.23259133051492392,-0.04319301025563613,0.05344054555763789
oos_all,active_days_gain_B4_vs_B0,self_sensitivity,2000,0.0047113773599188275,0.8332238817103889,0.002993956376755379,0.8935525096478418
oos_all,active_days_gain_B4_vs_B0,market_sensitivity,2000,0.035891495746651673,0.10857525820674077,0.029865066233530413,0.18185371355799554
oos_all,active_days_gain_B4_vs_B0,intervention_sensitivity,2000,0.026146016037794845,0.24250269290280294,0.012416495171628779,0.5789242198807867
oos_all,active_days_gain_B4_vs_B0,evidence_aligned_intervention_margin,2000,0.039810376278609186,0.07508140970861225,0.027699136789345293,0.21563961969181486
oos_all,active_days_gain_B4_vs_B0,llm_top_probability,2000,-0.017800206366804773,0.42625597002432714,-0.015311874424916173,0.4937353322901253
oos_all,active_days_gain_B4_vs_B0,llm_probability_margin_top_second,2000,-0.010859476724187519,0.627420111315419,-0.004616798909100296,0.8365241300558455
oos_all,active_days_gain_B4_vs_B0,llm_abstain,2000,-0.013156803424454596,0.556500251280751,0.007933415849629465,0.7229065747483385
oos_all,active_days_gain_B4_vs_B0,llm_mean_target_confidence,2000,-0.015438663655525754,0.4901643145679561,-0.0048371705654829044,0.8288389724349552
oos_all,active_days_gain_B4_vs_B0,llm_mean_target_entropy_nats,2000,-0.0013005157220112298,0.9536494633390543,-0.0012020541779207692,0.9571551341600405
oos_all,active_days_gain_B4_vs_B0,hypothesis_entropy_nats,2000,0.028466227294226848,0.20319184531277729,0.014903328045194222,0.5053360616140772
oos_all,active_days_gain_B4_vs_B0,hypothesis_entropy_normalized,2000,0.007801522175852061,0.7273281625578435,-0.01113724900465172,0.6186412506323057
oos_all,active_days_gain_B4_vs_B0,evidence_claim_count,2000,0.0014333161870995854,0.9489226050290267,-0.0035083393544053944,0.8754023948797848
oos_all,active_days_gain_B4_vs_B0,event_count_7d,2000,-0.010935817814669489,0.6250020600638385,-0.0007297936652484137,0.9739800408961109
oos_all,active_days_gain_B4_vs_B0,history_event_count_30d,2000,-0.014844628864205144,0.5070145399745632,-0.02099612197291025,0.3479918627239507
oos_all,counterparty_breadth_gain_B4_vs_B0,self_sensitivity,2000,0.01997619900820924,0.37191428492685774,0.022026339032599124,0.32484445551805957
oos_all,counterparty_breadth_gain_B4_vs_B0,market_sensitivity,2000,0.02322450915310121,0.2992131180404051,0.029830589597028875,0.18235884018191936
oos_all,counterparty_breadth_gain_B4_vs_B0,intervention_sensitivity,2000,0.029501656456755388,0.18723050204982736,0.035855335670438096,0.10893193679146429
oos_all,counterparty_breadth_gain_B4_vs_B0,evidence_aligned_intervention_margin,2000,0.04917153448777749,0.027879822488496738,0.04597300294592352,0.03980403662430074
oos_all,counterparty_breadth_gain_B4_vs_B0,llm_top_probability,2000,-0.014905488899735624,0.5052743287440086,-0.007280022681158136,0.7448985743308446
oos_all,counterparty_breadth_gain_B4_vs_B0,llm_probability_margin_top_second,2000,-0.012867801607326694,0.5652036352574517,-0.004791384736922445,0.8304343692575741
oos_all,counterparty_breadth_gain_B4_vs_B0,llm_abstain,2000,-0.01799267335274549,0.4212705903995281,0.014995897812304176,0.5026950222074977
oos_all,counterparty_breadth_gain_B4_vs_B0,llm_mean_target_confidence,2000,-0.028549480170069953,0.2018729952813732,0.003945236223823603,0.8600372796887816
oos_all,counterparty_breadth_gain_B4_vs_B0,llm_mean_target_entropy_nats,2000,0.00974245248441527,0.6632476786068107,-0.012880914909770632,0.5648073119353056
oos_all,counterparty_breadth_gain_B4_vs_B0,hypothesis_entropy_nats,2000,0.01370886250102514,0.5400585364974377,0.013917430612297707,0.5339106825983193
oos_all,counterparty_breadth_gain_B4_vs_B0,hypothesis_entropy_normalized,2000,0.018825457018130917,0.4000968614282686,0.015278240120124657,0.49468497209609147
oos_all,counterparty_breadth_gain_B4_vs_B0,evidence_claim_count,2000,0.009821616156838275,0.660681815477089,-0.008923941093496899,0.6900043104456164
