table,condition,level,split,unit,target,n,mean_delta_B4_minus_B0,median_delta_B4_minus_B0,degradation_rate_delta_gt_0,severe_degradation_rate_delta_gt_0_1,mean_gain_B4_vs_B0
categorical,activity_bin,3-9,dev,target,new_counterparties,250,0.016806071186325447,-0.002396830596956098,0.48,0.268,-0.016806071186325447
categorical,activity_bin,3-9,test,macro,macro,250,0.015355272876988924,-0.011560737419102653,0.468,0.328,-0.015355272876988924
categorical,activity_bin,3-9,test,target,active_days,250,0.02660500173115315,-0.01616309433358775,0.476,0.324,-0.02660500173115315
categorical,activity_bin,3-9,test,target,activity,250,0.017330342899891868,-0.023925705115752798,0.416,0.304,-0.017330342899891868
categorical,activity_bin,3-9,test,target,counterparty_breadth,250,0.015123948113297118,-0.003921095950584742,0.48,0.304,-0.015123948113297118
categorical,activity_bin,3-9,test,target,new_counterparties,250,0.0023617987636135444,-0.0052981379236898,0.492,0.288,-0.0023617987636135444
categorical,panel_repeat_wallet,repeat,dev,macro,macro,45,-0.008882651746761203,-0.045101637056369465,0.35555555555555557,0.3111111111111111,0.008882651746761203
categorical,panel_repeat_wallet,repeat,dev,target,active_days,45,0.06525184183697111,-0.0033018535526385,0.4888888888888889,0.35555555555555557,-0.06525184183697111
categorical,panel_repeat_wallet,repeat,dev,target,activity,45,-0.12110264536041833,-0.024859607250993204,0.4222222222222222,0.28888888888888886,0.12110264536041833
categorical,panel_repeat_wallet,repeat,dev,target,counterparty_breadth,45,0.042464712202350895,-0.010093571300191301,0.4888888888888889,0.3111111111111111,-0.042464712202350895
categorical,panel_repeat_wallet,repeat,dev,target,new_counterparties,45,-0.022144515665948418,-0.0332475349711322,0.4,0.28888888888888886,0.022144515665948418
categorical,panel_repeat_wallet,repeat,test,macro,macro,98,0.08147845518238774,0.02334385989878191,0.5204081632653061,0.3469387755102041,-0.08147845518238774
categorical,panel_repeat_wallet,repeat,test,target,active_days,98,0.0430881112105238,0.022713797456309713,0.5408163265306123,0.3877551020408163,-0.0430881112105238
categorical,panel_repeat_wallet,repeat,test,target,activity,98,0.10378996833030295,0.0070609298254127005,0.5408163265306123,0.40816326530612246,-0.10378996833030295
categorical,panel_repeat_wallet,repeat,test,target,counterparty_breadth,98,0.09709835660799786,0.042910663276941596,0.5510204081632653,0.41836734693877553,-0.09709835660799786
categorical,panel_repeat_wallet,repeat,test,target,new_counterparties,98,0.0819373845807264,0.001107089073629934,0.5102040816326531,0.3469387755102041,-0.0819373845807264
categorical,panel_repeat_wallet,unseen,dev,macro,macro,955,0.018670324925458125,-0.014524945961118658,0.44712041884816756,0.2994764397905759,-0.018670324925458125
categorical,panel_repeat_wallet,unseen,dev,target,active_days,955,0.02257044954177302,-0.01954402583296659,0.4408376963350785,0.3172774869109948,-0.02257044954177302
categorical,panel_repeat_wallet,unseen,dev,target,activity,955,0.008346817013223875,-0.014151198410100985,0.44502617801047123,0.28167539267015707,-0.008346817013223875
categorical,panel_repeat_wallet,unseen,dev,target,counterparty_breadth,955,0.025566928101122596,-0.013973236084813004,0.45549738219895286,0.3078534031413613,-0.025566928101122596
categorical,panel_repeat_wallet,unseen,dev,target,new_counterparties,955,0.018197105045713022,-0.015092102143210304,0.44502617801047123,0.28272251308900526,-0.018197105045713022
categorical,panel_repeat_wallet,unseen,test,macro,macro,902,0.023919640128515565,-0.006630599086942315,0.48004434589800443,0.33148558758314856,-0.023919640128515565
categorical,panel_repeat_wallet,unseen,test,target,active_days,902,0.02611460126780453,-0.00945133896695731,0.4811529933481153,0.3259423503325942,-0.02611460126780453
categorical,panel_repeat_wallet,unseen,test,target,activity,902,0.035759097448050135,-0.007604367829897835,0.4789356984478936,0.3203991130820399,-0.035759097448050135
categorical,panel_repeat_wallet,unseen,test,target,counterparty_breadth,902,0.02446072245760558,-1.5795598645850645e-05,0.5,0.3215077605321508,-0.02446072245760558
categorical,panel_repeat_wallet,unseen,test,target,new_counterparties,902,0.009344139340602013,-0.004623185803082949,0.49223946784922396,0.3004434589800443,-0.009344139340602013
categorical,dominant_event_family_30d,internal,dev,macro,macro,244,-0.01745837712253796,-0.019297968128205903,0.46311475409836067,0.3524590163934426,0.01745837712253796
categorical,dominant_event_family_30d,internal,dev,target,active_days,244,-0.05637144636450246,-0.0325251877345136,0.4426229508196721,0.32786885245901637,0.05637144636450246
categorical,dominant_event_family_30d,internal,dev,target,activity,244,-0.06582713040329526,-0.008402907342560852,0.4713114754098361,0.29918032786885246,0.06582713040329526
categorical,dominant_event_family_30d,internal,dev,target,counterparty_breadth,244,0.006261757462809889,-0.01769742670872825,0.4713114754098361,0.3442622950819672,-0.006261757462809889
categorical,dominant_event_family_30d,internal,dev,target,new_counterparties,244,0.046103310814836006,0.003954815057974549,0.5081967213114754,0.3483606557377049,-0.046103310814836006
categorical,dominant_event_family_30d,internal,test,macro,macro,251,0.03379677461557322,0.001943837684737687,0.5059760956175299,0.38247011952191234,-0.03379677461557322
categorical,dominant_event_family_30d,internal,test,target,active_days,251,0.01976457565556956,-0.020376915669918505,0.47808764940239046,0.3545816733067729,-0.01976457565556956
categorical,dominant_event_family_30d,internal,test,target,activity,251,0.04034156079082917,0.0037854382615101993,0.5219123505976095,0.3466135458167331,-0.04034156079082917
categorical,dominant_event_family_30d,internal,test,target,counterparty_breadth,251,0.0640512910812589,0.021923714544730105,0.5617529880478087,0.36254980079681276,-0.0640512910812589
categorical,dominant_event_family_30d,internal,test,target,new_counterparties,251,0.01102967093463525,-0.007246877218756109,0.47808764940239046,0.3107569721115538,-0.01102967093463525
categorical,dominant_event_family_30d,mixed,dev,macro,macro,376,0.0439203638050355,-0.007426203360042504,0.45478723404255317,0.29521276595744683,-0.0439203638050355
categorical,dominant_event_family_30d,mixed,dev,target,active_days,376,0.07629751251922645,-0.011009406329383353,0.449468085106383,0.31117021276595747,-0.07629751251922645
categorical,dominant_event_family_30d,mixed,dev,target,activity,376,0.021952553830686804,-0.012079730141835998,0.43617021276595747,0.26861702127659576,-0.021952553830686804
categorical,dominant_event_family_30d,mixed,dev,target,counterparty_breadth,376,0.029317529911987567,-0.00735005217340875,0.4654255319148936,0.2978723404255319,-0.029317529911987567
categorical,dominant_event_family_30d,mixed,dev,target,new_counterparties,376,0.04811385895824114,-0.0104257287489462,0.44148936170212766,0.26063829787234044,-0.04811385895824114
categorical,dominant_event_family_30d,mixed,test,macro,macro,388,0.014787267493727602,-0.007320704135558187,0.47680412371134023,0.28350515463917525,-0.014787267493727602
categorical,dominant_event_family_30d,mixed,test,target,active_days,388,0.013461243494613022,-0.01522517959097345,0.47680412371134023,0.3118556701030928,-0.013461243494613022
categorical,dominant_event_family_30d,mixed,test,target,activity,388,0.04385460561947516,-0.0060259995811508,0.49226804123711343,0.31958762886597936,-0.04385460561947516
categorical,dominant_event_family_30d,mixed,test,target,counterparty_breadth,388,0.0062547913415755005,-0.0026977676529266,0.4896907216494845,0.2912371134020619,-0.0062547913415755005
categorical,dominant_event_family_30d,mixed,test,target,new_counterparties,388,-0.004421570480753275,0.00462978602987,0.5154639175257731,0.28865979381443296,0.004421570480753275
categorical,dominant_event_family_30d,token,dev,macro,macro,380,0.013621653164247812,-0.02505032250655291,0.41842105263157897,0.2710526315789474,-0.013621653164247812
categorical,dominant_event_family_30d,token,dev,target,active_days,380,0.02515231684412207,-0.027289152452327457,0.4368421052631579,0.32105263157894737,-0.02515231684412207
categorical,dominant_event_family_30d,token,dev,target,activity,380,0.02718223890651521,-0.020837177505903203,0.4342105263157895,0.28421052631578947,-0.02718223890651521
categorical,dominant_event_family_30d,token,dev,target,counterparty_breadth,380,0.03625281136274981,-0.019911688186591156,0.4394736842105263,0.29473684210526313,-0.03625281136274981
categorical,dominant_event_family_30d,token,dev,target,new_counterparties,380,-0.03410075445639581,-0.0344128512493975,0.4026315789473684,0.2631578947368421,0.03410075445639581
categorical,dominant_event_family_30d,token,test,macro,macro,361,0.04249294678038741,-0.011886881457260912,0.47645429362880887,0.3518005540166205,-0.04249294678038741
categorical,dominant_event_family_30d,token,test,target,active_days,361,0.048737214062972864,0.0015828239658746968,0.5041551246537396,0.3379501385041551,-0.048737214062972864
categorical,dominant_event_family_30d,token,test,target,activity,361,0.042340177439491505,-0.02212924321519391,0.4515235457063712,0.3268698060941828,-0.042340177439491505
categorical,dominant_event_family_30d,token,test,target,counterparty_breadth,361,0.03622015928647297,-0.00408721290874231,0.481994459833795,0.3518005540166205,-0.03622015928647297
categorical,dominant_event_family_30d,token,test,target,new_counterparties,361,0.042674236332612255,-0.012019354148078795,0.481994459833795,0.3185595567867036,-0.042674236332612255
categorical,b4_gate_pass_flag,0.0,dev,macro,macro,128,0.05855897920135501,-0.0065909897509626,0.46875,0.375,-0.05855897920135501
categorical,b4_gate_pass_flag,0.0,test,macro,macro,97,0.13218468615112278,-0.008894995858381272,0.4742268041237113,0.3402061855670103,-0.13218468615112278
categorical,b4_gate_pass_flag,1.0,dev,macro,macro,872,0.01139322435485643,-0.01704809835156451,0.43922018348623854,0.2889908256880734,-0.01139322435485643
categorical,b4_gate_pass_flag,1.0,test,macro,macro,903,0.018536533164048873,-0.004566879259180284,0.4850498338870432,0.33222591362126247,-0.018536533164048873
categorical,b4_gate_pass_flag,nan,dev,target,active_days,1000,0.02449111219505694,-0.0190893843065425,0.443,0.319,-0.02449111219505694
categorical,b4_gate_pass_flag,nan,dev,target,activity,1000,0.002521591206409976,-0.01416656227381849,0.444,0.282,-0.002521591206409976
categorical,b4_gate_pass_flag,nan,dev,target,counterparty_breadth,1000,0.026327328385677865,-0.013950786033131102,0.457,0.308,-0.026327328385677865
categorical,b4_gate_pass_flag,nan,dev,target,new_counterparties,1000,0.016381732113688253,-0.015345619190747799,0.443,0.283,-0.016381732113688253
categorical,b4_gate_pass_flag,nan,test,target,active_days,1000,0.02777800524219102,-0.006913795574433043,0.487,0.332,-0.02777800524219102
categorical,b4_gate_pass_flag,nan,test,target,activity,1000,0.04242612279451092,-0.005123953500593597,0.485,0.329,-0.04242612279451092
categorical,b4_gate_pass_flag,nan,test,target,counterparty_breadth,1000,0.03157921060434402,0.0008054753200636838,0.505,0.331,-0.03157921060434402
