split,scope,model,target,n,log_loss,brier,balanced_accuracy,macro_f1
dev,active,B4_M1_VERIFIED_LLM,counterparty_breadth,500,0.9419821217483209,0.549412510706315,0.5931162180370676,0.5878446624015853
dev,active,B4_M1_VERIFIED_LLM,new_counterparties,500,0.8947420471092462,0.5086492691581602,0.6293662310628233,0.6143997229768529
dev,bin_1-2,B0_M1,activity,250,0.6103105595987497,0.3567331574830613,0.6599556489262371,0.641845235065574
dev,bin_1-2,B0_M1,active_days,250,0.6071784598576819,0.35751473295498504,0.6343784667484089,0.6023640955527267
dev,bin_1-2,B0_M1,counterparty_breadth,250,0.6135612898611672,0.361009534963569,0.6603570119214676,0.6336715909414472
dev,bin_1-2,B0_M1,new_counterparties,250,0.5617670046414084,0.33930923438645844,0.6380236473259729,0.6019669705513583
dev,bin_1-2,B1_M1_DETERMINISTIC,activity,250,0.614599574082202,0.35684405412783965,0.6599556489262371,0.641845235065574
dev,bin_1-2,B1_M1_DETERMINISTIC,active_days,250,0.603326982457773,0.36008590368208115,0.6438810065977696,0.6143118277220656
dev,bin_1-2,B1_M1_DETERMINISTIC,counterparty_breadth,250,0.6189146070933005,0.36201683933445983,0.6568943502610587,0.6359056292503364
dev,bin_1-2,B1_M1_DETERMINISTIC,new_counterparties,250,0.5665287821338966,0.3422291256701611,0.6344922089108135,0.5892643795869603
dev,bin_1-2,B2_M1_SINGLE_LLM,activity,250,0.6107848948862372,0.35691772672153005,0.6669000933706816,0.6460367952080659
dev,bin_1-2,B2_M1_SINGLE_LLM,active_days,250,0.5961838125001329,0.3513810155454907,0.628992234483564,0.5814203175717247
dev,bin_1-2,B2_M1_SINGLE_LLM,counterparty_breadth,250,0.6078966554652714,0.3574811989491227,0.6583962276077421,0.6317858578306511
dev,bin_1-2,B2_M1_SINGLE_LLM,new_counterparties,250,0.5618900027800673,0.3369235168722572,0.6473690392295043,0.61844457642347
dev,bin_1-2,B3_M1_MULTI_LLM,activity,250,0.6434788337274618,0.35789143414969465,0.6430905695611578,0.6001279968493083
dev,bin_1-2,B3_M1_MULTI_LLM,active_days,250,0.6576348676314738,0.36852390312817557,0.6295907047352135,0.5724705939183151
dev,bin_1-2,B3_M1_MULTI_LLM,counterparty_breadth,250,0.6315553208019403,0.35752168515822,0.6582344091730825,0.6190673432052742
dev,bin_1-2,B3_M1_MULTI_LLM,new_counterparties,250,0.5945451495516079,0.34664632946465906,0.6426552345156996,0.5934503809277653
dev,bin_1-2,B4_M1_VERIFIED_LLM,activity,250,0.6979874634997034,0.36562994694124284,0.6440826330532212,0.5933115668964726
dev,bin_1-2,B4_M1_VERIFIED_LLM,active_days,250,0.7086248938921399,0.3743333670910648,0.6271968237286156,0.5713455179680971
dev,bin_1-2,B4_M1_VERIFIED_LLM,counterparty_breadth,250,0.6885210580846869,0.37742744027513275,0.6420892276962364,0.5909945684246639
dev,bin_1-2,B4_M1_VERIFIED_LLM,new_counterparties,250,0.629313620219474,0.3486591785848534,0.6429997650927883,0.5847906344117361
dev,bin_3-9,B0_M1,activity,250,0.7525638262408538,0.4583523087283358,0.5622433122433123,0.5658949545380956
dev,bin_3-9,B0_M1,active_days,250,0.7933736293443735,0.47558875067813666,0.560850439882698,0.5569556753519017
dev,bin_3-9,B0_M1,counterparty_breadth,250,0.7554252706329246,0.450504789224349,0.5782668914416216,0.5749455410146832
dev,bin_3-9,B0_M1,new_counterparties,250,0.5973995638182704,0.3504338666956636,0.5974297827239003,0.5943735957475124
dev,bin_3-9,B1_M1_DETERMINISTIC,activity,250,0.7689438786701119,0.46504659529509507,0.5545750545750545,0.5620689655172414
dev,bin_3-9,B1_M1_DETERMINISTIC,active_days,250,0.8194735099440739,0.49118582866404303,0.5379765395894428,0.538887805351897
dev,bin_3-9,B1_M1_DETERMINISTIC,counterparty_breadth,250,0.7483070658818349,0.44003079357105396,0.5705501583150524,0.5711321591758457
dev,bin_3-9,B1_M1_DETERMINISTIC,new_counterparties,250,0.6200026399590809,0.37097745952701394,0.5776040746628982,0.5804394115369725
dev,bin_3-9,B2_M1_SINGLE_LLM,activity,250,0.7531888715733849,0.45358710093391535,0.5768583268583268,0.5766095918534943
dev,bin_3-9,B2_M1_SINGLE_LLM,active_days,250,0.7929473921484771,0.4694403479492829,0.5592130987292278,0.5592803030303031
dev,bin_3-9,B2_M1_SINGLE_LLM,counterparty_breadth,250,0.731761365340886,0.4352142022335324,0.5746413146453131,0.5667403848398093
dev,bin_3-9,B2_M1_SINGLE_LLM,new_counterparties,250,0.5848536579120248,0.341256540021727,0.5905994229523641,0.5811627681192898
