cutoff,score,k,selection,n_nodes,future_volume_mean,future_new_counterparties_mean,future_active_days_mean,history_volume_mean,spearman,p_value
2022-06-01,burstiness,500.0,random,6033,5.412,1.062,1.472,10.86,,
2022-06-01,burstiness,,spearman_future_volume,6033,,,,,0.3826170725851618,1.3571049088071806e-209
2022-06-01,reciprocity,50.0,top,6033,411.36,24.42,9.18,649.36,,
2022-06-01,reciprocity,50.0,random,6033,3.8,0.74,1.18,9.0,,
2022-06-01,reciprocity,100.0,top,6033,220.22,14.59,7.25,347.82,,
2022-06-01,reciprocity,100.0,random,6033,5.58,0.81,1.36,15.16,,
2022-06-01,reciprocity,250.0,top,6033,101.504,8.132,5.536,160.584,,
2022-06-01,reciprocity,250.0,random,6033,5.08,0.844,1.24,10.912,,
2022-06-01,reciprocity,500.0,top,6033,56.84,5.27,4.258,91.72,,
2022-06-01,reciprocity,500.0,random,6033,5.236,1.054,1.378,9.86,,
2022-06-01,reciprocity,,spearman_future_volume,6033,,,,,0.3479350499545285,3.023805419472753e-171
2022-06-01,novelty,50.0,top,6033,10.44,3.04,2.74,22.6,,
2022-06-01,novelty,50.0,random,6033,6.6,1.6,1.76,7.08,,
2022-06-01,novelty,100.0,top,6033,9.5,2.26,2.33,16.86,,
2022-06-01,novelty,100.0,random,6033,6.0,1.5,1.68,6.2,,
2022-06-01,novelty,250.0,top,6033,8.544,2.428,2.264,13.424,,
2022-06-01,novelty,250.0,random,6033,5.824,1.252,1.48,7.968,,
2022-06-01,novelty,500.0,top,6033,7.5,2.294,2.104,11.916,,
2022-06-01,novelty,500.0,random,6033,40.884,2.292,1.49,56.156,,
2022-06-01,novelty,,spearman_future_volume,6033,,,,,0.1483990529667875,4.722145439304171e-31
2022-06-01,temporal_surprise,50.0,top,6033,20.12,3.24,3.88,38.24,,
2022-06-01,temporal_surprise,50.0,random,6033,5.12,1.18,1.48,11.04,,
2022-06-01,temporal_surprise,100.0,top,6033,15.16,2.48,3.28,31.68,,
2022-06-01,temporal_surprise,100.0,random,6033,3.48,0.9,1.11,9.96,,
2022-06-01,temporal_surprise,250.0,top,6033,16.44,2.368,3.508,25.832,,
2022-06-01,temporal_surprise,250.0,random,6033,4.8,0.98,1.328,11.248,,
2022-06-01,temporal_surprise,500.0,top,6033,14.432,2.186,3.178,23.428,,
2022-06-01,temporal_surprise,500.0,random,6033,5.292,0.954,1.404,11.012,,
2022-06-01,temporal_surprise,,spearman_future_volume,6033,,,,,0.14485620153746243,1.1885439993582168e-29
2022-07-01,volume,50.0,top,4869,597.0,18.04,9.82,513.4,,
2022-07-01,volume,50.0,random,4869,3.6,0.86,1.02,5.12,,
2022-07-01,volume,100.0,top,4869,319.32,10.79,8.52,287.9,,
2022-07-01,volume,100.0,random,4869,3.64,1.07,1.15,5.8,,
2022-07-01,volume,250.0,top,4869,148.32,5.944,6.832,138.424,,
2022-07-01,volume,250.0,random,4869,5.624,1.14,1.488,7.304,,
2022-07-01,volume,500.0,top,4869,83.528,3.996,5.354,81.34,,
2022-07-01,volume,500.0,random,4869,7.62,1.222,1.638,8.504,,
2022-07-01,volume,,spearman_future_volume,4869,,,,,0.42363860732189035,2.3998769163240683e-211
2022-07-01,active_days,50.0,top,4869,590.96,20.38,11.46,469.24,,
2022-07-01,active_days,50.0,random,4869,7.76,1.1,1.82,9.16,,
2022-07-01,active_days,100.0,top,4869,317.4,11.99,9.99,260.48,,
2022-07-01,active_days,100.0,random,4869,8.34,1.37,1.88,7.78,,
2022-07-01,active_days,250.0,top,4869,142.584,6.388,6.84,124.048,,
2022-07-01,active_days,250.0,random,4869,7.184,1.244,1.592,9.424,,
2022-07-01,active_days,500.0,top,4869,80.932,4.418,5.468,74.1,,
2022-07-01,active_days,500.0,random,4869,6.872,1.086,1.592,8.98,,
2022-07-01,active_days,,spearman_future_volume,4869,,,,,0.4319511781774194,1.4834677749364064e-220
2022-07-01,unique_counterparties,50.0,top,4869,559.76,23.34,8.3,430.6,,
2022-07-01,unique_counterparties,50.0,random,4869,15.52,1.92,2.64,11.28,,
2022-07-01,unique_counterparties,100.0,top,4869,295.96,14.08,7.06,237.44,,
2022-07-01,unique_counterparties,100.0,random,4869,11.56,1.66,2.37,15.64,,
2022-07-01,unique_counterparties,250.0,top,4869,131.704,7.708,5.472,111.68,,
2022-07-01,unique_counterparties,250.0,random,4869,7.88,1.24,1.972,11.408,,
2022-07-01,unique_counterparties,500.0,top,4869,73.204,5.064,4.462,64.512,,
2022-07-01,unique_counterparties,500.0,random,4869,6.56,1.134,1.688,10.232,,
2022-07-01,unique_counterparties,,spearman_future_volume,4869,,,,,0.31296735385829366,4.1432744514466354e-111
2022-07-01,counterparty_entropy,50.0,top,4869,559.32,18.56,7.2,416.16,,
2022-07-01,counterparty_entropy,50.0,random,4869,4.44,1.08,1.36,7.84,,
2022-07-01,counterparty_entropy,100.0,top,4869,295.72,10.48,5.93,223.78,,
2022-07-01,counterparty_entropy,100.0,random,4869,5.04,1.09,1.34,6.8,,
2022-07-01,counterparty_entropy,250.0,top,4869,133.784,5.972,5.132,108.744,,
2022-07-01,counterparty_entropy,250.0,random,4869,7.552,1.044,1.572,7.856,,
2022-07-01,counterparty_entropy,500.0,top,4869,73.144,3.416,3.826,62.908,,
2022-07-01,counterparty_entropy,500.0,random,4869,7.776,1.04,1.558,8.704,,
2022-07-01,counterparty_entropy,,spearman_future_volume,4869,,,,,0.3142209654943522,4.94346310087964e-112
2022-07-01,burstiness,50.0,top,4869,49.92,3.04,7.42,90.76,,
2022-07-01,burstiness,50.0,random,4869,3.8,1.0,1.3,5.4,,
2022-07-01,burstiness,100.0,top,4869,47.66,3.3,7.11,82.62,,
2022-07-01,burstiness,100.0,random,4869,5.32,0.99,1.55,7.12,,
2022-07-01,burstiness,250.0,top,4869,35.688,2.92,5.832,57.312,,
2022-07-01,burstiness,250.0,random,4869,5.624,1.068,1.508,7.576,,
2022-07-01,burstiness,500.0,top,4869,29.572,2.642,5.146,42.744,,
2022-07-01,burstiness,500.0,random,4869,6.704,0.992,1.48,8.256,,
2022-07-01,burstiness,,spearman_future_volume,4869,,,,,0.40498513956425436,1.3273413889867769e-191
2022-07-01,reciprocity,50.0,top,4869,559.76,23.34,8.3,430.6,,
2022-07-01,reciprocity,50.0,random,4869,7.76,1.1,1.82,9.16,,
2022-07-01,reciprocity,100.0,top,4869,295.96,14.08,7.06,237.44,,
2022-07-01,reciprocity,100.0,random,4869,8.34,1.37,1.88,7.78,,
2022-07-01,reciprocity,250.0,top,4869,131.704,7.708,5.472,111.68,,
2022-07-01,reciprocity,250.0,random,4869,7.184,1.244,1.592,9.424,,
2022-07-01,reciprocity,500.0,top,4869,73.204,5.064,4.462,64.512,,
2022-07-01,reciprocity,500.0,random,4869,6.872,1.086,1.592,8.98,,
2022-07-01,reciprocity,,spearman_future_volume,4869,,,,,0.31296735385829366,4.1432744514466354e-111
2022-07-01,novelty,50.0,top,4869,16.44,2.88,3.38,16.12,,
2022-07-01,novelty,50.0,random,4869,7.2,0.8,1.92,12.04,,
2022-07-01,novelty,100.0,top,4869,13.1,2.48,2.92,13.36,,
2022-07-01,novelty,100.0,random,4869,9.2,0.9,1.98,10.82,,
2022-07-01,novelty,250.0,top,4869,12.056,2.676,2.964,11.416,,
2022-07-01,novelty,250.0,random,4869,8.04,1.052,1.816,9.2,,
2022-07-01,novelty,500.0,top,4869,9.272,2.244,2.43,10.06,,
2022-07-01,novelty,500.0,random,4869,8.636,1.126,1.84,10.28,,
2022-07-01,novelty,,spearman_future_volume,4869,,,,,0.15275299369057005,8.284496246248851e-27
2022-07-01,temporal_surprise,50.0,top,4869,34.4,0.74,4.9,55.64,,
2022-07-01,temporal_surprise,50.0,random,4869,4.2,0.88,1.14,6.84,,
