cutoff,selection,draw,episode_count,n_nodes,future_volume,future_new_cp,future_active_days
2022-05-01,burst,33,142,100,6.28,1.75,0.0
2022-05-01,burst,34,142,100,7.08,1.53,0.0
2022-05-01,burst,35,142,100,8.22,2.08,0.0
2022-05-01,burst,36,142,100,8.4,2.47,0.0
2022-05-01,burst,37,142,100,8.28,2.1,0.0
2022-05-01,burst,38,142,100,13.04,2.49,0.0
2022-05-01,burst,39,142,100,8.94,2.34,0.0
2022-05-01,burst,40,142,100,10.56,2.83,0.0
2022-05-01,burst,41,142,100,7.04,1.73,0.0
2022-05-01,burst,42,142,100,12.28,2.48,0.0
2022-05-01,burst,43,142,100,8.64,1.87,0.0
2022-05-01,burst,44,142,100,15.38,2.97,0.0
2022-05-01,burst,45,142,100,9.22,2.4,0.0
2022-05-01,burst,46,142,100,7.76,1.77,0.0
2022-05-01,burst,47,142,100,7.42,2.06,0.0
2022-05-01,burst,48,142,100,8.3,2.27,0.0
2022-05-01,burst,49,142,100,8.46,2.29,0.0
2022-05-01,burst,50,142,100,7.72,1.67,0.0
2022-05-01,burst,51,142,100,10.22,2.61,0.0
2022-05-01,burst,52,142,100,12.66,2.49,0.0
2022-05-01,burst,53,142,100,8.26,1.79,0.0
2022-05-01,burst,54,142,100,8.1,2.08,0.0
2022-05-01,burst,55,142,100,8.48,2.31,0.0
2022-05-01,burst,56,142,100,6.58,1.45,0.0
2022-05-01,burst,57,142,100,6.9,2.04,0.0
2022-05-01,burst,58,142,100,5.2,1.4,0.0
2022-05-01,burst,59,142,100,7.96,2.32,0.0
2022-05-01,burst,60,142,100,10.74,2.7,0.0
2022-05-01,burst,61,142,100,9.32,2.39,0.0
2022-05-01,burst,62,142,100,5.96,1.48,0.0
2022-05-01,burst,63,142,100,7.96,1.99,0.0
2022-05-01,burst,64,142,100,6.58,1.54,0.0
2022-05-01,burst,65,142,100,6.7,1.7,0.0
2022-05-01,burst,66,142,100,9.56,2.29,0.0
2022-05-01,burst,67,142,100,5.02,1.67,0.0
2022-05-01,burst,68,142,100,10.08,2.08,0.0
2022-05-01,burst,69,142,100,6.56,1.48,0.0
2022-05-01,burst,70,142,100,12.84,2.59,0.0
2022-05-01,burst,71,142,100,5.76,1.62,0.0
2022-05-01,burst,72,142,100,10.46,2.92,0.0
2022-05-01,burst,73,142,100,9.3,2.54,0.0
2022-05-01,burst,74,142,100,7.06,1.57,0.0
2022-05-01,burst,75,142,100,12.1,2.58,0.0
2022-05-01,burst,76,142,100,8.7,2.12,0.0
2022-05-01,burst,77,142,100,7.38,1.94,0.0
2022-05-01,burst,78,142,100,15.9,2.96,0.0
2022-05-01,burst,79,142,100,9.64,2.35,0.0
2022-05-01,burst,80,142,100,6.16,1.53,0.0
2022-05-01,burst,81,142,100,7.36,2.1,0.0
2022-05-01,burst,82,142,100,9.22,2.68,0.0
2022-05-01,burst,83,142,100,10.72,2.13,0.0
2022-05-01,burst,84,142,100,8.24,2.22,0.0
2022-05-01,burst,85,142,100,7.56,1.63,0.0
2022-05-01,burst,86,142,100,9.3,2.58,0.0
2022-05-01,burst,87,142,100,7.72,1.9,0.0
2022-05-01,burst,88,142,100,7.84,2.21,0.0
2022-05-01,burst,89,142,100,11.08,2.34,0.0
2022-05-01,burst,90,142,100,7.84,2.33,0.0
2022-05-01,burst,91,142,100,12.46,2.31,0.0
2022-05-01,burst,92,142,100,6.4,1.64,0.0
2022-05-01,burst,93,142,100,9.14,1.67,0.0
2022-05-01,burst,94,142,100,7.88,1.93,0.0
2022-05-01,burst,95,142,100,6.08,1.3,0.0
2022-05-01,burst,96,142,100,8.24,1.67,0.0
2022-05-01,burst,97,142,100,8.76,1.94,0.0
2022-05-01,burst,98,142,100,7.12,1.52,0.0
2022-05-01,burst,99,142,100,8.2,1.87,0.0
