target_address,bridges_events,icf_score_p1,icf_raw_signal
0x178d46f3ad7c43aa25c0c95955cf956a5ad1549e,529,132.73249718165124,0.8905723905723913
0x484ec62385e780f2460feac34864a77ba5a18134,703,131.34562561548515,3.5326633165829167
0x49cd0640bb99e2e410a64e943a65e0091646b7d2,1007,130.64640151895853,7.571428571428589
0xd7d58eb413cf79c75e3ce3259dbba83fc1fe94c7,446,130.53397262475897,3.626016260162599
0xc08e0bb650197e708e49657c52c8e3e7999d065b,130,129.76605504587155,2.549019607843137
0x6e63a4caeccb4f341ee9c9175c9cc554bdb6d10b,1193,129.3774910884825,11.046296296296319
0xc38d7c151697d9d735d47aa946381ccfa92150ad,412,128.60609308419848,5.024390243902442
0x1d0af70d1b7b0364b76c0df53ca9125d9241b810,453,128.43276311508686,4.485148514851488
0x0338ce5020c447f7e668dc2ef778025ce398266b,423,128.09288795254892,1.9054054054054064
0x830cc132dd66f6491ceaa20206f398247143d9cf,256,127.95227132560636,1.3689839572192504
0xa3b61ee71f56ce4ae43d65395c01f1e526f3b090,205,127.04786421626343,3.942307692307691
0x482293e4c21130f069169e5d7e9c99f239c5ee8e,216,126.44839828085644,1.8305084745762719
0x2ee8670d2b936985d5fb1ee968810c155d3bb9ca,324,125.79665962251076,2.634146341463413
0xc30ea36667fdaffd9bc43b89af8818deba5a29ad,341,122.6001316123211,2.8655462184873963
0x172458ff1b115ba5c2076465977baf6152c5ac72,1124,122.22719290543131,1.7672955974842768
0x7d26513b44e0d864eae3e810bae64f80c22849f5,135,122.140221395166,11.249999999999998
0x802f0eb7792871b67fc21d4faeeed9cd680d2fdd,166,122.04290280977688,1.9302325581395345
0xeb7f94718da2afb04404982de69ba8ac1515bc28,163,121.4880456411052,4.794117647058824
0x5f8b9b4541ecef965424f1db923806aad626add2,201,120.81349102840636,1.7033898305084751
0x347343e5fb74aedc0bb1b55d4ea991f8975f706b,198,120.10577343007297,4.714285714285717
0xc20a4a6fd0dce286afad550d2266965caf8cee5e,639,120.06877802535197,2.8149779735682823
0x92e9b91aa2171694d740e7066f787739ca1af9de,1435,119.15544463524728,3.033826638477804
0x505d97bf096201c186ca9d2c48474cca5aded2f2,163,118.87727464045389,3.8809523809523823
0x251764ce2619b69c6784f853e1b58601c6dc7afc,560,118.7056483989316,3.2558139534883748
0x016dbc709b8c1667d7303e2c4129167d660dc010,832,118.03031997890673,3.8165137614678826
0xd547226aac3878ab4b4c6f7063af810d439b0c3d,172,117.73534659164672,2.0476190476190483
0x9f041fbbc6fd007115dae9bd1ce6001b26747797,403,117.48795884473284,3.173228346456689
0x5473580406d12e1cbd4c00b77e158fff0ce9424e,417,117.3003435239739,5.346153846153846
0x2086d879202a40c9b95b27be7ced99e827d08fbc,2335,117.18324881295352,11.974358974358944
0xec9e512fe7e90134d8ca7295329ccb0a57c91ecb,877,116.37543000371733,3.6390041493775933
0x86a41524cb61edd8b115a72ad9735f8068996688,366,116.00667810944515,2.316455696202533
0x3b99cc55c357829fa8ac9bd21ab2ce43f4b56a9c,357,115.31612118074854,0.8644067796610164
0xfcc2b4fb323d83570af61c9448280cb2e0a02979,160,115.18422107898954,6.666666666666665
0xd7d743254bf6bae1a509f96d0369eb7f45a6f190,580,114.94426197323952,3.694267515923567
0x70d6eb2b3b9a2a7d6d67c3f24c246bffc05b48ca,219,114.87002156279927,4.055555555555554
0xb386e92acf9279cebb13389811c22b77cc649bd6,720,114.67682022295867,5.496183206106877
0x07587c046d4d4bd97c2d64edbfab1c1fe28a10e5,989,114.4322793101095,6.38064516129033
0x41a420856b3828462ea555c736caa93ccf022391,849,113.88639717215379,0.7122483221476502
0x7d3590537e0f6833d4dcc49944bd2eb4d4eab3c9,114,113.84806629834254,2.0727272727272728
0x1c5762f9899b46c19d4c9b8fbdd38d35856227f3,849,113.43768355173594,1.7361963190184084
0x41797b5e0398af475422f6f33f2dc81d9a24ae33,212,112.92540408964923,0.7043189368770764
0xeafc83bd210706fc3930a32dcfd8920e953c3622,139,112.83948196382275,6.043478260869564
0x83cd2b925293e1f096c58b68fb3259a64e156d8a,493,112.58791756675905,3.081249999999999
0x926d2562cd25e2a8988449f61271c19ff65d2c04,237,112.34372454495286,2.6629213483146073
0x4910d42a595ce640b65a06a331fd621b51fba0c7,123,112.06906906906906,2.1964285714285707
0xcbf3c9b38003fa550a7bff5206366c1f62480ba7,1356,111.70578915522212,2.4835164835164774
0xc280963db6b68e4ff42040f17535d6b0c5f732cd,194,111.3767275270817,1.3661971830985917
0x4533d1f65906368ebfd61259daee561df3f3559d,202,111.10827534857118,2.4337349397590367
0x2d368d6a84b791d634e6f9f81908d884849fd43d,1105,111.08152812544769,1.7429022082018908
0x1702f2d0df7c99011a690461c34e51bd81cbab48,233,110.39416151882507,0.544392523364486
0xd0cd7926f3e7bbc459453f1804ad1c2fa03a1310,144,108.94122721867072,2.3225806451612887
0x7b640407513bc16167ef3450fd6339803982e976,454,108.66420708146167,1.058275058275059
0x029a870ac6e8551d1a09209c4b28e773b3ecd432,344,108.24807576365251,2.6666666666666696
0x0a50ed0c93582051105a5ef9bcdfc734a18937bc,169,107.42078169216802,1.251851851851852
0x5c342dc282882b8c1b9213e0f10bf165d87ec69f,260,107.31479293580624,3.880597014925372
0x7b5658e5212377020b953d232875fc59ee6edbef,184,107.28059751575616,1.7037037037037033
0xc5f59709974262c4afacc5386287820bdbc7eb3a,381,106.23451013388889,1.7318181818181821
0x9f7064dfe6ca5856b3afd7a3b3974686a35bdab5,106,106.0,1.9272727272727275
0x830077d75c03ecd994c744ef4d2dca5ff4b8d52c,243,105.65220602798306,2.9277108433734944
0x76514746efd54ab8d1b70970b1df74924bfd1f39,395,105.58063545830016,2.438271604938272
0x1770c692db5f54a642f7f0b96541e92f37fd7454,1268,105.49684537601571,3.4931129476584126
0x13928eb9a86c8278a45b6ff2935c7730b58ac675,336,105.35329938438639,2.4525547445255467
0x3c3b3dd7a4096826587abb2f2f989ea89eca163f,185,105.18792211798365,2.176470588235295
0x196e7b2d09c0a093c2a19622df730e43480c5dbf,469,105.07734090747287,16.172413793103456
0x271f2d33c88133878a9eaec8091de094c617013b,522,104.93146707088366,4.423728813559318
0xdce95a016f359383a617a9c20913ab803bf6bb3c,114,104.80759476140938,3.8
0xf3e1f9230ef6bb5646dc04879e67a3005cb69b37,351,104.5317260158787,4.333333333333334
0xfdc3e8edd74a90fe971ef7d56a0c66c870b10f5d,1326,103.25819045381957,5.740259740259743
0x9b20b150e873f079187c1510ba554f267f809471,136,102.63547963764992,1.5454545454545456
0xa1f1591e623f4802515cfde19823d8f269f6aeea,102,102.0,3.9230769230769225
